scenario_id,method,status,invariant_valid,total_demand,served_demand,unserved_demand,service_rate,relocation_cost_centimes,decision_cost_centimes
synthetic_reallocation_031,no_relocation,BASELINE,True,15,7,8,0.466667,0,8000000
synthetic_reallocation_031,greedy,BASELINE,True,15,11,4,0.733333,48000,4048000
synthetic_reallocation_031,ortools_min_cost_flow,OPTIMAL,True,15,15,0,1.000000,156000,156000
synthetic_reallocation_032,no_relocation,BASELINE,True,19,8,11,0.421053,0,11000000
synthetic_reallocation_032,greedy,BASELINE,True,19,13,6,0.684211,70000,6070000
synthetic_reallocation_032,ortools_min_cost_flow,OPTIMAL,True,19,18,1,0.947368,222500,1222500
synthetic_reallocation_033,no_relocation,BASELINE,True,13,9,4,0.692308,0,4000000
synthetic_reallocation_033,greedy,BASELINE,True,13,11,2,0.846154,31000,2031000
synthetic_reallocation_033,ortools_min_cost_flow,OPTIMAL,True,13,13,0,1.000000,98000,98000
synthetic_reallocation_034,no_relocation,BASELINE,True,13,7,6,0.538462,0,6000000
synthetic_reallocation_034,greedy,BASELINE,True,13,10,3,0.769231,52500,3052500
synthetic_reallocation_034,ortools_min_cost_flow,OPTIMAL,True,13,13,0,1.000000,154500,154500
synthetic_reallocation_035,no_relocation,BASELINE,True,16,8,8,0.500000,0,8000000
synthetic_reallocation_035,greedy,BASELINE,True,16,12,4,0.750000,76000,4076000
synthetic_reallocation_035,ortools_min_cost_flow,OPTIMAL,True,16,16,0,1.000000,224000,224000
synthetic_reallocation_036,no_relocation,BASELINE,True,20,9,11,0.450000,0,11000000
synthetic_reallocation_036,greedy,BASELINE,True,20,14,6,0.700000,50000,6050000
synthetic_reallocation_036,ortools_min_cost_flow,OPTIMAL,True,20,19,1,0.950000,185000,1185000
synthetic_reallocation_037,no_relocation,BASELINE,True,11,7,4,0.636364,0,4000000
synthetic_reallocation_037,greedy,BASELINE,True,11,9,2,0.818182,21000,2021000
synthetic_reallocation_037,ortools_min_cost_flow,OPTIMAL,True,11,11,0,1.000000,73000,73000
synthetic_reallocation_038,no_relocation,BASELINE,True,14,8,6,0.571429,0,6000000
synthetic_reallocation_038,greedy,BASELINE,True,14,11,3,0.785714,39000,3039000
synthetic_reallocation_038,ortools_min_cost_flow,OPTIMAL,True,14,14,0,1.000000,129000,129000
synthetic_reallocation_039,no_relocation,BASELINE,True,17,9,8,0.529412,0,8000000
synthetic_reallocation_039,greedy,BASELINE,True,17,13,4,0.764706,58000,4058000
synthetic_reallocation_039,ortools_min_cost_flow,OPTIMAL,True,17,17,0,1.000000,190000,190000
synthetic_reallocation_040,no_relocation,BASELINE,True,18,7,11,0.388889,0,11000000
synthetic_reallocation_040,greedy,BASELINE,True,18,12,6,0.666667,77500,6077500
synthetic_reallocation_040,ortools_min_cost_flow,OPTIMAL,True,18,17,1,0.944444,240000,1240000
synthetic_reallocation_041,no_relocation,BASELINE,True,12,8,4,0.666667,0,4000000
synthetic_reallocation_041,greedy,BASELINE,True,12,10,2,0.833333,34000,2034000
synthetic_reallocation_041,ortools_min_cost_flow,OPTIMAL,True,12,12,0,1.000000,100000,100000
synthetic_reallocation_042,no_relocation,BASELINE,True,15,9,6,0.600000,0,6000000
synthetic_reallocation_042,greedy,BASELINE,True,15,12,3,0.800000,57000,3057000
synthetic_reallocation_042,ortools_min_cost_flow,OPTIMAL,True,15,15,0,1.000000,166500,166500
synthetic_reallocation_043,no_relocation,BASELINE,True,15,7,8,0.466667,0,8000000
synthetic_reallocation_043,greedy,BASELINE,True,15,11,4,0.733333,36000,4036000
synthetic_reallocation_043,ortools_min_cost_flow,OPTIMAL,True,15,15,0,1.000000,136000,136000
synthetic_reallocation_044,no_relocation,BASELINE,True,19,8,11,0.421053,0,11000000
synthetic_reallocation_044,greedy,BASELINE,True,19,13,6,0.684211,52500,6052500
synthetic_reallocation_044,ortools_min_cost_flow,OPTIMAL,True,19,18,1,0.947368,192500,1192500
synthetic_reallocation_045,no_relocation,BASELINE,True,13,9,4,0.692308,0,4000000
synthetic_reallocation_045,greedy,BASELINE,True,13,11,2,0.846154,25000,2025000
synthetic_reallocation_045,ortools_min_cost_flow,OPTIMAL,True,13,13,0,1.000000,88000,88000
synthetic_reallocation_046,no_relocation,BASELINE,True,13,7,6,0.538462,0,6000000
synthetic_reallocation_046,greedy,BASELINE,True,13,10,3,0.769231,42000,3042000
synthetic_reallocation_046,ortools_min_cost_flow,OPTIMAL,True,13,13,0,1.000000,129000,129000
synthetic_reallocation_047,no_relocation,BASELINE,True,16,8,8,0.500000,0,8000000
synthetic_reallocation_047,greedy,BASELINE,True,16,12,4,0.750000,60000,4060000
synthetic_reallocation_047,ortools_min_cost_flow,OPTIMAL,True,16,16,0,1.000000,186000,186000
synthetic_reallocation_048,no_relocation,BASELINE,True,20,9,11,0.450000,0,11000000
synthetic_reallocation_048,greedy,BASELINE,True,20,14,6,0.700000,85000,6085000
synthetic_reallocation_048,ortools_min_cost_flow,OPTIMAL,True,20,19,1,0.950000,260000,1260000
